date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,,
3/5/2020,"India is pushing for more clout globally, as the world’s largest democracy. But as its government takes an illiberal turn to Hindu nationalism, that premise is being questioned.","NEW DELHI — Until recently, Prime Minister Narendra Modi’s campaign to portray India as a rising power seemed to be ticking along despite troubles at home.","India is pushing for more clout globally, as the world’s largest democracy. But as its government takes an illiberal turn to Hindu nationalism, that premise is being questioned.",World,Asia Pacific,Foreign,By Maria Abi-Habib,Violence in India Threatens Its Global Ambitions,India’s Treatment of Muslims Threatens Its Global Ambitions,News Analysis,News,https://www.nytimes.com/2020/03/05/world/asia/india-violence-diplomacy.html,,,
2/20/2020,"Coronavirus, Japan ship, Libya: Here’s what you need to know.","For the second time in about a week, China has changed its criteria for confirming cases of the virus, making it increasingly difficult for public health experts to track the scale of the epidemic.","Coronavirus, Japan ship, Libya: Here’s what you need to know.",Briefing,NA,NYTNow,By Melina Delkic,Your Friday Briefing,NA,NA,briefing,https://www.nytimes.com/2020/02/20/briefing/coronavirus-japan-diamond-princess-amazon.html,,,
11/7/2020,"Foreign leaders showered the president-elect with congratulations. For many, the importance of this election was as much about removing Mr. Trump as ushering in Mr. Biden.","LONDON — For a world that held its breath as Americans went to the polls last Tuesday, the triumph of Joseph R. Biden Jr. over President Trump provoked many emotions, but above all, a profound sigh of relief.","Foreign leaders showered the president-elect with congratulations. For many, the importance of this election was as much about removing Mr. Trump as ushering in Mr. Biden.",World,Americas,Foreign,By Mark Landler,Biden Victory Brings Sighs of Relief Overseas,Relief and Joy Overseas: ‘Welcome Back America!’,NA,News,https://www.nytimes.com/2020/11/07/world/americas/biden-international-reaction.html,,,
6/23/2020,"The coronavirus pandemic upended the plans of millions of Muslims, for whom the once-in-a-lifetime trip is a sacred milestone.","BEIRUT, Lebanon — For much of his life, Abdul-Halim al-Akoum stashed away cash in hopes of one day traveling from his Lebanese mountain village to perform the hajj, the pilgrimage to Mecca that all Muslims who can are obliged to make once in their lives.","The coronavirus pandemic upended the plans of millions of Muslims, for whom the once-in-a-lifetime trip is a sacred milestone.",World,Middle East,Foreign,By Ben Hubbard and Declan Walsh,"The Hajj Pilgrimage Is Canceled, and Grief Rocks the Muslim World",‘It Was My Only Wish’: Muslims Share Grief as Hajj Is Canceled,NA,News,https://www.nytimes.com/2020/06/23/world/middleeast/hajj-pilgrimage-canceled.html,,,
6/5/2020,The military that Gen. Mark A. Milley represents is facing what could be the worst schism with the American public since the fractious Vietnam War years.,WASHINGTON — Gen. Mark A. Milley was never meant to be President Trump’s top military adviser.,The military that Gen. Mark A. Milley represents is facing what could be the worst schism with the American public since the fractious Vietnam War years.,U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and Thomas Gibbons-Neff","Milley, America’s Top General, Walks Into a Political Battle","America’s Top General Takes a Walk With Trump, Right Into the Fire",NA,News,https://www.nytimes.com/2020/06/05/us/politics/protests-milley-trump.html,,,
5/1/2020,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,Briefing,NA,NYTNow,By Victoria Shannon,"Coronavirus, E.C.B., Chinese Lab: Your Friday Briefing",NA,NA,briefing,https://www.nytimes.com/2020/05/01/briefing/coronavirus-european-central-bank-wuhan-lab.html,,,
4/2/2020,Our roundup of the news stories and features about young people that have recently appeared across sections of NYTimes.com.,"Here is the March edition of Teenagers in The Times, a roundup of the news and feature stories about young people that have recently appeared across sections of NYTimes.com. We publish a new edition on the first Thursday of each month.",Our roundup of the news stories and features about young people that have recently appeared across sections of NYTimes.com.,The Learning Network,NA,Learning,By The Learning Network,Teenagers in The Times: March 2020,NA,NA,News,https://www.nytimes.com/2020/04/02/learning/teenagers-in-the-times-march-2020.html,,,
3/23/2020,Here's what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here's what you need to know.,Briefing,NA,NYTNow,By Chris Stanford,"Coronavirus, Senate, Summer Olympics: Your Monday Briefing",NA,NA,briefing,https://www.nytimes.com/2020/03/23/briefing/coronavirus-senate-summer-olympics.html,,,
3/9/2020,"Coronavirus, Italy, Turkey: Here’s what you need to know.","Italy imposed an unprecedented peacetime lockdown on Sunday that will affect 16 million people across much of the country’s north, as officials reported a more than 50 percent surge in confirmed cases from a day earlier. Here are the latest updates on the virus and a map of where it has spread.","Coronavirus, Italy, Turkey: Here’s what you need to know.",Briefing,NA,NYTNow,By Mike Ives,Your Monday Briefing,NA,NA,briefing,https://www.nytimes.com/2020/03/09/briefing/coronavirus-italy-turkey.html,,,
1/21/2020,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,Briefing,NA,NYTNow,By Mike Ives and Sofia Mitra-Thakur,"Impeachment, China Virus, France: Your Tuesday Briefing",NA,NA,briefing,https://www.nytimes.com/2020/01/21/briefing/impeachment-china-virus-france.html,,,
4/19/2020,The pandemic has reached Afghanistan’s presidential palace. Volunteers are stoking divisions as they tighten India’s lockdown.,"Volunteer virus patrol squads are popping up across India. Neighborhoods are imposing extra rules and sealing themselves off. In rural areas, some carry sticks, sickles and pockets full of nails for puncturing the tires of cars they deem suspicious.",The pandemic has reached Afghanistan’s presidential palace. Volunteers are stoking divisions as they tighten India’s lockdown.,World,NA,Foreign,NA,Chile to Issue Coronavirus ‘Immunity Cards’ to Those Who Recover,NA,NA,News,https://www.nytimes.com/2020/04/19/world/coronavirus-news.html,,,
5/7/2020,"Poland has postponed its presidential election amid debate over how to conduct voting safely. In India, a deadly gas leak may have resulted from a rush to reopen a chemical plant.",<U+65B0><U+51A0><U+75C5><U+6BD2><U+75AB><U+60C5><U+6700><U+65B0><U+6D88><U+606F>,"Poland has postponed its presidential election amid debate over how to conduct voting safely. In India, a deadly gas leak may have resulted from a rush to reopen a chemical plant.",World,NA,Foreign,NA,Stark Racial Gap Is Revealed in U.K. Coronavirus Death Toll,NA,NA,News,https://www.nytimes.com/2020/05/07/world/coronavirus-news.html,,,
11/11/2020,The American diplomatic mission in Islamabad said its account had been used “without authorization” to forward a message citing the presidential election result as a blow to demagogues and dictators.,"ISLAMABAD, Pakistan — The U.S. Embassy in Islamabad apologized on Wednesday after saying that its official Twitter account had been used without permission to retweet an anti-Trump post from a Pakistani opposition politician and rival of Prime Minister Imran Khan.",The American diplomatic mission in Islamabad said its account had been used “without authorization” to forward a message citing the presidential election result as a blow to demagogues and dictators.,World,Asia Pacific,Foreign,By Salman Masood,U.S. Embassy in Pakistan Apologizes for Retweeting Election Post,NA,NA,News,https://www.nytimes.com/2020/11/11/world/asia/pakistan-embassy-retweet.html,,,
1/22/2020,The deputy commander of the American-led operation in Iraq said the Pentagon was putting service members through medical examinations to see if they had traumatic brain injuries.,"WASHINGTON — President Trump on Wednesday dismissed concussion symptoms reported by several American troops after Iranian airstrikes on Al Asad Air Base in Iraq as “not very serious,” even as the Pentagon acknowledged that a number of service members were being examined for possible traumatic brain injury caused by the attack.",The deputy commander of the American-led operation in Iraq said the Pentagon was putting service members through medical examinations to see if they had traumatic brain injuries.,World,Middle East,Washington,By Helene Cooper and Eric Schmitt,Trump Dismisses Troops’ Possible Brain Injuries as ‘Headaches’,President Plays Down Troops’ Injury Symptoms,NA,News,https://www.nytimes.com/2020/01/22/world/middleeast/trump-iraq-brain-injuries.html,,,
12/2/2020,He told a friend that he would have relished the chance to help end the coronavirus pandemic had he still been active in the field. The virus claimed him instead.,This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here.,He told a friend that he would have relished the chance to help end the coronavirus pandemic had he still been active in the field. The virus claimed him instead.,Obituaries,NA,Obits,By Glenn Rifkin,"Dr. Michael Davidson, Who Studied Infectious Disease, Dies at 77","Dr. Michael Davidson, 77",Those We’ve Lost,Obituary (Obit),https://www.nytimes.com/2020/12/02/obituaries/dr-michael-davidson-dead-coronavirus.html,,,
10/28/2020,"Intentionally inane, “Whatever Happened to Pizza at McDonald’s?” satirizes the business of podcasting.","If there is a god of ludicrous ideas that later seem inspired, he must have smiled on Brian Thompson one evening four years ago. A comedy writer living in Los Angeles, Mr. Thompson had been bingeing on true crime podcasts when he decided to create a show that would plumb the stupidest, least consequential mystery he could imagine. For reasons he can’t fully explain, he came up with:","Intentionally inane, “Whatever Happened to Pizza at McDonald’s?” satirizes the business of podcasting.",Business Day,NA,SundayBusiness,By David Segal,A Podcast Answers a Fast-Food Question That Nobody Is Asking,"Answering a Fast-Food Question, if You Care",NA,News,https://www.nytimes.com/2020/10/28/business/mcdonalds-pizza-podcast.html,,,
8/30/2020,"Ayahuasca, a vomit-inducing hallucinogenic brew, draws thousands of people each year — including former soldiers — to jungle retreats that have become an unlicensed and unregulated mental health marketplace.","GIGANTE, Costa Rica — There was a ghostlike quality to Rudy Gonsior, an American former Special Forces sniper, on the morning he arrived at a jungle retreat to see if a vomit-inducing psychedelic brew could undo the damage years of combat had done to his mind.","Ayahuasca, a vomit-inducing hallucinogenic brew, draws thousands of people each year — including former soldiers — to jungle retreats that have become an unlicensed and unregulated mental health marketplace.",World,Americas,Foreign,By Ernesto Londoño and Adam Ferguson,‘A Hail Mary’: Psychedelic Therapy Draws Veterans to Jungle Retreats,Psychedelic Therapy In the Jungle Soothes The Pain for Veterans,NA,News,https://www.nytimes.com/2020/08/30/world/americas/psychedelics-therapy-war-stress.html,,,
5/12/2020,Five housebound photographers used everyday items to create images that speak to both their inner lives and the world beyond their walls.,"Two years ago, Diane Seuss released her poetry collection “Still Life With Two Dead Peacocks and a Girl,” named for a canvas painted by Rembrandt sometime around 1639. One of the poems, “Still Life With Turkey,” about a different, unspecified canvas, likely an 18th-century work by Jean-Baptiste-Siméon Chardin, begins with the lines “The turkey’s strung up by one pronged foot, / the cord binding it just below the stiff trinity / of toes, each with its cold bent claw.” And then: “My eyes are in love with it as they are in love with all / dead things that cannot escape being looked at.”",Five housebound photographers used everyday items to create images that speak to both their inner lives and the world beyond their walls.,T Magazine,NA,TStyle,By Michael Snyder,"Still Life With Fly Swatter, or Hourglass, or Lemons",NA,NA,News,https://www.nytimes.com/2020/05/12/t-magazine/photographers-coronavirus-still-life-pictures.html,,,
7/3/2020,"After plastic explosives and Nazi memorabilia were found at an elite soldier’s home, Germany worries about a problem of far-right infiltration at the heart of its democracy.","CALW, Germany — As Germany emerged from its coronavirus lockdown in May, police commandos pulled up outside a rural property owned by a sergeant major in the special forces, the country’s most highly trained and secretive military unit.","After plastic explosives and Nazi memorabilia were found at an elite soldier’s home, Germany worries about a problem of far-right infiltration at the heart of its democracy.",World,Europe,Foreign,By Katrin Bennhold,"As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’",German Force  Fears Inroads  By Neo-Nazis,NA,News,https://www.nytimes.com/2020/07/03/world/europe/germany-military-neo-nazis-ksk.html,,,
6/18/2020,The announcement comes as the military is working through issues on race that reflect the larger forces sweeping the country.,"WASHINGTON — The Pentagon will look into how to increase the percentage of minority service members in its predominantly white officer corps, Defense Secretary Mark T. Esper said Thursday.",The announcement comes as the military is working through issues on race that reflect the larger forces sweeping the country.,U.S.,Politics,Washington,By Helene Cooper,Defense Secretary Will Assess How to Promote More Minorities in Military,A Losing Battle in the Military,NA,News,https://www.nytimes.com/2020/06/18/us/politics/esper-military-race.html,,,
3/8/2020,"For the first time, a federal court is requiring the United States military to allow American and foreign doctors to assess a mentally ill prisoner at Guantánamo Bay.",This article was produced in partnership with the Pulitzer Center on Crisis Reporting.,"For the first time, a federal court is requiring the United States military to allow American and foreign doctors to assess a mentally ill prisoner at Guantánamo Bay.",U.S.,Politics,Washington,By Carol Rosenberg,Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner,Judge Orders Panel Review  Of Detainee Abused by U.S.,NA,News,https://www.nytimes.com/2020/03/08/us/politics/guantanamo-prisoner-mental-health.html,,,
11/10/2020,"Chief Lang Holland of Marshall, Ark., advocated online that Democrats should be attacked and summarily executed. He resigned soon after his comments were made public.","As the results of the presidential election unfolded last week and former Vice President Joseph R. Biden Jr. took the lead in the Electoral College, the police chief of Marshall, Ark., a town of roughly 1,350 people north of Little Rock, shared his feeling of rage online.","Chief Lang Holland of Marshall, Ark., advocated online that Democrats should be attacked and summarily executed. He resigned soon after his comments were made public.",U.S.,NA,Express,By John Ismay,Arkansas Police Chief Resigns After Calling for Democrats to Be Executed,NA,NA,News,https://www.nytimes.com/2020/11/09/us/arkansas-police-resigns-parler.html,,,
9/2/2020,"The money, part of $120 million owed in annual dues, will go to other agencies fighting flu and buying vaccines.","As the United States withdraws from membership in the World Health Organization, the Trump administration will redirect $62 million still owed for this year’s dues to other health-related causes also under United Nations auspices, State Department officials announced on Wednesday.","The money, part of $120 million owed in annual dues, will go to other agencies fighting flu and buying vaccines.",Health,NA,Science,By Donald G. McNeil Jr,Trump Administration Will Redirect $62 Million Owed to the W.H.O.,U.S. Intends  To Redirect  Dues Owed  To W.H.O.,NA,News,https://www.nytimes.com/2020/09/02/health/trump-world-health-organization-funding-coronavirus.html,,,
7/30/2020,The president said he didn’t ask Vladimir Putin whether Russia paid to have U.S. troops killed. The “Daily Show” host can see why that talk would have been “super awkward.”,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. We’re all stuck at home at the moment, so here are the 50 best movies on Netflix right now.",The president said he didn’t ask Vladimir Putin whether Russia paid to have U.S. troops killed. The “Daily Show” host can see why that talk would have been “super awkward.”,Arts,Television,Culture,By Trish Bendix,Trevor Noah Thinks Trump Is ‘Oddly Chilled Out’ About Russia,NA,Best of Late Night,News,https://www.nytimes.com/2020/07/30/arts/television/trevor-noah-trump-russia.html,,,
3/11/2020,The bipartisan measure amounts to an unusual rebuke of the president’s expansive war powers. President Trump has promised to veto it.,"The House gave final approval on Wednesday to a bipartisan resolution aimed at forcing President Trump to get explicit approval from Congress before taking further military action against Iran, in a bid by lawmakers to reassert congressional war powers that is all but certain to be thwarted by a presidential veto.",The bipartisan measure amounts to an unusual rebuke of the president’s expansive war powers. President Trump has promised to veto it.,U.S.,Politics,Washington,By Catie Edmondson,"House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto",House Votes to Claw Back Power to Use Force on Iran,NA,News,https://www.nytimes.com/2020/03/11/us/politics/trump-iran-war-powers-congress.html,,,
2/6/2020,Why do some people risk their lives to achieve a goal?,“Climbing the Shark’s Fin\ is a seven-minute film that explores what it means to push oneself to the edge of one’s limit. It chronicles three mountain climbers as they attempt one of the most elusive first ascents in the Indian Himalayas, the precarious Shark’s Fin route on Mount Meru. With astonishing camera work, we follow as these climbers strive to reach their goal despite the possible risk of losing fingers," toes — and maybe even their lives.""",Why do some people risk their lives to achieve a goal?,The Learning Network,NA,Learning,By The Learning Network,Film Club: ‘Climbing the Shark’s Fin’,NA,NA,News,https://www.nytimes.com/2020/02/06/learning/film-club-climbing-the-sharks-fin.html
1/14/2020,French officials said that a Pentagon proposal to relocate troops as it focuses on China and Russia could hinder the fight against extremists.,"BRUSSELS — A Pentagon proposal to greatly reduce American forces in West Africa faced criticism from allies on Tuesday, with French officials arguing that removing United States intelligence assets in the region could stymie the fight against extremist groups.",French officials said that a Pentagon proposal to relocate troops as it focuses on China and Russia could hinder the fight against extremists.,World,Africa,Foreign,By Helene Cooper,Plan to Cut U.S. Troops in West Africa Draws Criticism From Europe,Plan to Cut U.S. Troops In West Africa Is Criticized,NA,News,https://www.nytimes.com/2020/01/14/world/africa/milley-troops-withdraw.html,,,
8/21/2020,How closely did you pay attention to the events of this dramatic summer? See what you remember by taking our special Summer 2020 News Quiz.,How closely did you pay attention to the events of this dramatic summer? See what you remember by taking our special Summer 2020 News Quiz.,How closely did you pay attention to the events of this dramatic summer? See what you remember by taking our special Summer 2020 News Quiz.,The Learning Network,NA,The Learning Network,Compiled by Jeremy Engle and John Otis,Summer 2020 News Quiz,NA,Weekly News Quiz for Students,Interactive Feature,https://www.nytimes.com/interactive/2020/08/21/learning/20SummerNewsQuizLN.html,,,
3/13/2020,"An official said she hoped that up to 5,000 migrants would participate in the voluntary scheme, which had caveats.","LONDON — Thousands of migrants who have been stranded on Greek islands will be offered 2,000 euros, or $2,230, to return to their home countries, the European Union said on Thursday, in an attempt to ease overcrowding in the camps and lighten the burden on Greece, which has faced an influx of arrivals in recent weeks.","An official said she hoped that up to 5,000 migrants would participate in the voluntary scheme, which had caveats.",World,Europe,Foreign,By Elian Peltier,"E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home",E.U. Offering Migrants Cash to Leave Greece,NA,News,https://www.nytimes.com/2020/03/13/world/europe/greece-voluntary-return.html,,,
1/4/2020,Demonstrations in more than 80 communities were organized to call attention to rising tensions in the Middle East.,Thousands of antiwar protesters gathered in communities across the country on Saturday to condemn the American drone strike in Baghdad that killed Iran’s top security and intelligence commander.,Demonstrations in more than 80 communities were organized to call attention to rising tensions in the Middle East.,U.S.,NA,Express,By Mariel Padilla,Antiwar Protesters Across U.S. Condemn Killing of Suleimani,NA,NA,News,https://www.nytimes.com/2020/01/04/us/iran-anti-war-protests.html,,,
12/19/2020,Noor and Aziz are Rohingya Muppets who will feature in educational programming that will be shown in refugee camps.,BANGKOK — Six-year-old twins Noor and Aziz live in the largest refugee camp in the world. They are Rohingya Muslims who escaped ethnic cleansing in their native Myanmar for refuge in neighboring Bangladesh. They are also Muppets.,Noor and Aziz are Rohingya Muppets who will feature in educational programming that will be shown in refugee camps.,World,Asia Pacific,Foreign,By Hannah Beech,‘R’ is for Rohingya: Sesame Street Creates New Muppets for Refugees,NA,NA,News,https://www.nytimes.com/2020/12/19/world/asia/sesame-street-rohingya-muppets.html,,,
2/19/2020,"Mr. Rood told Congress that Ukraine had made necessary changes to justify sending the country aid, undermining an argument made by President Trump’s defenders in the impeachment battle.","WASHINGTON — John C. Rood, the Defense Department’s top policy official, is the latest member of President Trump’s national security team involved in the Ukraine matter to be ousted from the government.","Mr. Rood told Congress that Ukraine had made necessary changes to justify sending the country aid, undermining an argument made by President Trump’s defenders in the impeachment battle.",U.S.,Politics,Washington,By Helene Cooper,"John Rood, Top Defense Official, Latest to Be Ousted After Impeachment Saga",Top Defense Official Latest to Be Ousted After Ukraine Dispute,NA,News,https://www.nytimes.com/2020/02/19/us/politics/john-rood-trump.html,,,
12/11/2020,The move raised the prospect of a legislative showdown in the president’s final weeks in office on the bill that authorizes pay for the troops.,"WASHINGTON — The Senate overwhelmingly passed a sweeping military policy bill on Friday that would require that Confederate names be stripped from American military bases, clearing the measure for enactment and sending it to President Trump’s desk in defiance of his threats of a veto.",The move raised the prospect of a legislative showdown in the president’s final weeks in office on the bill that authorizes pay for the troops.,U.S.,Politics,Washington,By Catie Edmondson,"Senate Sends Military Bill to Trump’s Desk, Spurning His Veto Threat",Senate Sends Veto-Proof Military Bill To President,NA,News,https://www.nytimes.com/2020/12/11/us/politics/senate-military-bill-trump-veto-threat.html,,,
12/4/2020,Not many of us are jet-setting around the world this year. Take those loyalty points and put them to good use.,"This may not have been the year in which you used many of your frequent flier miles or loyalty points, but that doesn’t mean you can’t put them to good use while they idle in your accounts.",Not many of us are jet-setting around the world this year. Take those loyalty points and put them to good use.,Travel,NA,Travel,By Charu Suri,"You Might Be Grounded, But Your Frequent Flier Miles Don’t Have to Be",Just Donate Unused Miles And Points,NA,News,https://www.nytimes.com/2020/12/04/travel/donate-frequent-flier-miles.html,,,
11/25/2020,"The war in Syria, which began almost a decade ago, makes it the only country where the outlawed bombs have been repeatedly used since 2012.","Casualties from cluster bombs, the internationally banned weapons that kill indiscriminately, nearly doubled last year, mostly because of use by the Russian-backed armed forces of Syria in that country’s nearly decade-old war, a monitoring group reported on Wednesday.","The war in Syria, which began almost a decade ago, makes it the only country where the outlawed bombs have been repeatedly used since 2012.",World,Middle East,Foreign,By Rick Gladstone,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",Cluster-Bomb Casualties Nearly Doubled in 2019,NA,News,https://www.nytimes.com/2020/11/25/world/middleeast/cluster-bomb-casualties-syria.html,,,
11/25/2020,"Although a new lockdown has made it more challenging, browsing at museum shops is still an option, thanks to the internet.","I can’t count how many times I’ve been to the Louvre Museum’s gift shop, but it was just before the coronavirus outbreak that I discovered La Boutique de la Chalcographie du Louvre, the public face of the museum’s atelier that reproduces prints and sculptures.","Although a new lockdown has made it more challenging, browsing at museum shops is still an option, thanks to the internet.",Style,NA,SpecialSections,By Elaine Sciolino,The Museums of Paris: A Source for Gifts Inspired by the Past,Museum shops in Paris offer a trove of gifts,Global Shopping,News,https://www.nytimes.com/2020/11/25/style/paris-museums-gifts.html,,,
12/4/2020,Not many of us are jet-setting around the world this year. Take those loyalty points and put them to good use.,"This may not have been the year in which you used many of your frequent flier miles or loyalty points, but that doesn’t mean you can’t put them to good use while they idle in your accounts.",Not many of us are jet-setting around the world this year. Take those loyalty points and put them to good use.,Travel,NA,Travel,By Charu Suri,"You Might Be Grounded, But Your Frequent Flier Miles Don’t Have to Be",Just Donate Unused Miles And Points,NA,News,https://www.nytimes.com/2020/12/04/travel/donate-frequent-flier-miles.html,,,
11/25/2020,"The war in Syria, which began almost a decade ago, makes it the only country where the outlawed bombs have been repeatedly used since 2012.","Casualties from cluster bombs, the internationally banned weapons that kill indiscriminately, nearly doubled last year, mostly because of use by the Russian-backed armed forces of Syria in that country’s nearly decade-old war, a monitoring group reported on Wednesday.","The war in Syria, which began almost a decade ago, makes it the only country where the outlawed bombs have been repeatedly used since 2012.",World,Middle East,Foreign,By Rick Gladstone,"Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",Cluster-Bomb Casualties Nearly Doubled in 2019,NA,News,https://www.nytimes.com/2020/11/25/world/middleeast/cluster-bomb-casualties-syria.html,,,
11/25/2020,"Although a new lockdown has made it more challenging, browsing at museum shops is still an option, thanks to the internet.","I can’t count how many times I’ve been to the Louvre Museum’s gift shop, but it was just before the coronavirus outbreak that I discovered La Boutique de la Chalcographie du Louvre, the public face of the museum’s atelier that reproduces prints and sculptures.","Although a new lockdown has made it more challenging, browsing at museum shops is still an option, thanks to the internet.",Style,NA,SpecialSections,By Elaine Sciolino,The Museums of Paris: A Source for Gifts Inspired by the Past,Museum shops in Paris offer a trove of gifts,Global Shopping,News,https://www.nytimes.com/2020/11/25/style/paris-museums-gifts.html,,,
10/21/2020,Vote for public servants who will represent all Americans.,"Few places in America have been hit harder by the coronavirus and its economic fallout than New York and New Jersey. The region is in need of strong representation in Washington. Though many eyes are on the Senate, several competitive House races here could also help reshape Congress.",Vote for public servants who will represent all Americans.,Opinion,NA,Editorial,By The Editorial Board,"Nancy Goroff, Antonio Delgado and Tom Malinowski for Congress",Endorsements for Congress,NA,Editorial,https://www.nytimes.com/2020/10/20/opinion/nancy-goroff-antonio-delgado-tom-malinowski-endorsement.html,,,
9/14/2020,"The employee, who worked in a group dedicated to rooting out fake accounts, said executives ignored or were slow to react to her warnings.","OAKLAND, Calif. — While Facebook has heralded improvements to its fight against disinformation in the United States, it has been slow to deal with fake accounts that have affected elections around the world, according to a post published by a former employee.","The employee, who worked in a group dedicated to rooting out fake accounts, said executives ignored or were slow to react to her warnings.",Technology,NA,Business,By Sheera Frenkel,"Facebook Is Failing in Global Disinformation Fight, Says Former Worker","Facebook Is Failing in Disinformation Fight, Ex-Employee Says",NA,News,https://www.nytimes.com/2020/09/14/technology/facebook-manipulation-whistleblower-sophie-zhang.html,,,
6/7/2020,"The first American to win a world championship in men’s gymnastics, he captured many medals but missed out on his best chance to take Olympic gold.","Kurt Thomas, who became the first American to win a world championship event in men’s gymnastics when he captured gold in the floor exercise at Strasbourg, France, in 1978, died on Friday. He was 64.","The first American to win a world championship in men’s gymnastics, he captured many medals but missed out on his best chance to take Olympic gold.",Sports,NA,Obits,By Richard Goldstein,"Kurt Thomas, Trailblazing Champion Gymnast, Dies at 64","Kurt Thomas, a Daring and Innovative World Champion, Is Dead at 64",NA,Obituary (Obit),https://www.nytimes.com/2020/06/07/sports/kurt-thomas-dead.html,,,
5/12/2020,Gilles Kepel’s “Away From Chaos” is a useful overview of the many changes that have roiled the Muslim world.,AWAY FROM CHAOSThe Middle East and the Challenge to the WestBy Gilles Kepel,Gilles Kepel’s “Away From Chaos” is a useful overview of the many changes that have roiled the Muslim world.,Books,Book Review,BookReview,By Michael J. Totten,A French Expert Surveys the Entire Middle East,The Real Middle East,nonfiction,Review,https://www.nytimes.com/2020/05/12/books/review/away-from-chaos-gilles-kepel.html,,,
4/2/2020,"The court found there was sufficient evidence to convict Ahmed Omar Sheikh of abducting Mr. Pearl, a Wall Street Journal reporter, but not of killing him.","ISLAMABAD, Pakistan — A Pakistani court on Thursday overturned the murder conviction and death sentence of Ahmed Omar Sheikh, a British-born militant who had been convicted of masterminding the 2002 abduction and killing of the American journalist Daniel Pearl, lawyers said.","The court found there was sufficient evidence to convict Ahmed Omar Sheikh of abducting Mr. Pearl, a Wall Street Journal reporter, but not of killing him.",World,Asia Pacific,Foreign,By Salman Masood,Pakistani Court Overturns Conviction in 2002 Killing of Daniel Pearl,Pakistani Court Overturns Conviction in 2002 Killing of American Journalist,NA,News,https://www.nytimes.com/2020/04/02/world/asia/pakistan-daniel-pearl.html,,,
7/9/2020,"The soldier’s graduation is a landmark moment for the Army, as the Special Forces were one of the branch’s last assignments without any women.","WASHINGTON — A female National Guard soldier graduated from Army Special Forces training on Thursday and earned the title of Green Beret, the first woman to do so since the Pentagon opened all combat jobs, including those in the Special Operations community, to women in 2016.","The soldier’s graduation is a landmark moment for the Army, as the Special Forces were one of the branch’s last assignments without any women.",U.S.,Politics,Washington,By Thomas Gibbons-Neff,First Woman Joins Green Berets After Graduating From Special Forces Training,Barrier Falls As a Woman Becomes A Green Beret,NA,News,https://www.nytimes.com/2020/07/09/us/politics/woman-green-berets-army.html,,,
3/2/2020,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,Briefing,NA,NYTNow,By Melina Delkic,"Coronavirus, China’s Quarantines, Super Tuesday: Your Tuesday Briefing",NA,NA,briefing,https://www.nytimes.com/2020/03/02/briefing/coronavirus-china-quarantine-super-tuesday.html,,,
2/7/2020,"The Times sent a survey to the presidential candidates about matters of war and peace, diplomacy and national security.","The Times sent a survey to the presidential candidates about matters of war and peace, diplomacy and national security.","The Times sent a survey to the presidential candidates about matters of war and peace, diplomacy and national security.",U.S.,Politics,U.S.,NA,Top Diplomatic Priority - Foreign Policy,NA,NA,Interactive Feature,https://www.nytimes.com/interactive/2020/us/politics/2020-democrats-top-diplomatic-priority-foreign-policy.html,,,
11/9/2020,"Mr. Esper’s removal was quickly followed by speculation that the president was not finished: The F.B.I. director and the C.I.A. director could be next, according to administration officials.","WASHINGTON — President Trump fired Defense Secretary Mark T. Esper on Monday, upending the military’s leadership at a time when Mr. Trump’s refusal to concede the election has created a rocky and potentially precarious transition.","Mr. Esper’s removal was quickly followed by speculation that the president was not finished: The F.B.I. director and the C.I.A. director could be next, according to administration officials.",U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and Maggie Haberman","Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets",Trump Fires Esper Amid Fears Of Purge at Security Agencies,NA,News,https://www.nytimes.com/2020/11/09/us/politics/esper-defense-secretary.html,,,
