doc.id,text,date,section.name,news.desk,byline,headline.main,headline.print,material,,,
988,WASHINGTON — The nation’s top general declined on Sunday to endorse either of the sudden announcements on Afghan troop withdrawals that came out of the White House last week.,10/12/2020,World,Washington,By Helene Cooper,Top General Declines to Endorse Trump’s Afghan Withdrawal Timeline,General Tempers White House Chatter on Paring Troops in Afghanistan,News,,,
989,"KABUL, Afghanistan — The Taliban have opened an offensive on the southern Afghan city of Lashkar Gah, overrunning some of its surrounding security checkpoints and largely cutting it off, even as their negotiators remained at the table for talks with the Afghan government that appear stalled.",10/12/2020,World,Foreign,By Mujib Mashal and Taimoor Shah,Taliban Test Afghan and U.S. Resolve in Talks by Attacking a City,NA,News,,,
990,"KANDAHAR, Afghanistan — Homa Yusafzai felt terrible. Her weight was up, she had diabetes and high blood pressure, and at just 27 she felt lethargic and depressed.",10/12/2020,World,Foreign,By David Zucchino and Fatima Faizi,"In Former Taliban Stronghold, Defiant Women Hit the Gym","In a Former Taliban Stronghold, Defiant Women Hit the Gym",News,,,
991,(Want to get this briefing by email? Here’s the sign-up.),10/13/2020,Briefing,NYTNow,By Natasha Frost,"Belarus, Vaccines, Amy Coney Barrett: Your Tuesday Briefing",NA,briefing,,,
992,"At just six seconds, the campaign ad has to be among the shortest and most blunt in political history.",10/13/2020,New York,Metro,By Jazmine Hughes,Rep. Max Rose Seeks 2nd Term by Targeting Fellow Democrat: De Blasio,"Democratic Firebrand, Seeking Second Term, Takes Aim at de Blasio",News,,,
993,"— Sanam Naraghi-Anderlini, the author of “Women Building Peace: What They Do, Why It Matters”",10/13/2020,U.S.,Gender,By Alexandra E. Petri,Women at the Peace Table Yields Better Results. Why Is It Still So Rare?,NA,News,,,
994,"NEW DELHI — In India, where throngs admire President Trump, one rural farmer worshiped him like a god, praying to a life-size statue of Mr. Trump in his backyard every morning.",10/14/2020,World,Foreign,By Shalini Venugopal Bhagat and Mike Ives,He Built a Trump Statue and Worshiped It. Then He Collapsed.,Worshipful Fan of Trump  Was Faithful Until Death  ,News,,,
995,"A strange and terrible sound echoed across the badlands of swirling grit and desert scrub — the roar of a cadre of militants on motorcycles, more than a dozen of them. The growl of their engines was punctuated by the stuttering blasts of the riders’ Kalashnikovs. This was how they always arrived. There were no government troops around, no police officers, no one to stop them.",10/15/2020,Magazine,Magazine,By Nick Turse,How One of the Most Stable Nations in West Africa Descended Into Mayhem,NA,News,,,
996,WASHINGTON — President Trump’s surprise tweet last week that he would pull all U.S. troops from Afghanistan by Christmas is not the only important military mission he may abruptly shrink or end as Election Day nears.,10/15/2020,U.S.,Washington,By Eric Schmitt,Trump’s Tweets on Troop Withdrawals Unnerve Pentagon,Trump’s New Push to Withdraw Troops Catches Pentagon Off Guard,News,,,
997,"There are few media platforms that operate solely to examine the experiences of war and the toll they’ve taken on both Americans and the citizens of other nations for whom the cost of recent conflicts is almost insurmountable, yet too often forgotten. At War existed as a home to elevate this type of journalism, first from 2009 until 2016 as a blog, and then again from 2018 until today under the helm of The Times Magazine. It was a project run by a small team, unbound by traditional formats or narrow themes; a place where you could find anything from an analysis of a Soviet rifle left behind after an attack by ISIS fighters in Afghanistan to a first-person essay about being deported from Ethiopia as an Eritrean teenage girl at the start of a two-year border war.",10/16/2020,Magazine,Magazine,By Lauren Katzenberg,Turning the Lights Down on the At War Channel,The At War Team Winds Down,News,,,
998,"This month, with no warning to the Pentagon, President Trump’s national security adviser abruptly announced that the United States would reduce its troops in Afghanistan to 2,500 by early next year, rather than 4,500 as previously decided. Hours later, the president tweeted that no, he wanted them all back by Christmas. Caught by surprise, the chairman of the Joint Chiefs of Staff, Gen. Mark Milley, declared that he would proceed based on conditions and existing plans, and the Department of Defense noted — again — that it does not respond to commands over Twitter.",10/16/2020,Opinion,Editorial,By Serge Schmemann,The Foreign Policy That Wasn’t,His Incompetent Statesmanship,Op-Ed,,,
999,"When Joseph R. Biden Jr. dropped the Arabic phrase “inshallah” in the first presidential debate last month, Muslim Twitter lost it. Inshallah, which means “if god wills,” can be a double-edged sword, equal parts sincere and savage. I grew up with a Muslim Iranian mother, and having spent time in Iran, where Farsi speakers also use the term handily, I recognized Mr. Biden’s deployment as a mockery of his opponent, President Donald J. Trump.",10/16/2020,Style,Styles,By Sasha von Oldershausen,The Perfect Phrase for This Relentless Year,The Perfect Phrase For a Relentless Year,News,,,
1000,"WASHINGTON — President Trump’s national security adviser, Robert C. O’Brien, added to the confusion around Mr. Trump’s plans for Afghanistan on Friday, reiterating an assertion that the United States will draw down to about 2,500 troops by early next year — and indirectly rebuking the Joint Chiefs of Staff chairman for openly questioning that timeline.",10/16/2020,U.S.,Washington,By Michael Crowley,"Trump Aide Insists U.S. Will Reduce Forces in Afghanistan to 2,500 Troops",NA,News,,,
1001,Follow our live Kyle Rittenhouse trial verdict coverage.,10/16/2020,U.S.,National,By Neil MacFarquhar,When Armed Vigilantes Are Summoned With a Few Keystrokes,When a Vigilante’s Call to Action Is Only a Facebook Post Away,News,,,
1002,"KABUL — Rahmatullah Andar was once a feared Taliban commander, locked in bloody skirmishes against American and Afghan government troops in the rugged landscape of eastern Afghanistan.",10/16/2020,World,Foreign,By David Zucchino and Najim Rahim,This Ex-Taliban Commander Is Now the Face of Afghan Security,How a Former Taliban Commander Became the Face of Afghan Security,News,,,
1003,"WASHINGTON — The certificate of appreciation that Hanadi Al Haidari’s family received for providing shelter, food and translation services for the United States military still looks brand-new, without even a crease. She keeps it next to her Iraqi passport in her new home in Denver.",10/18/2020,U.S.,Washington,By Zolan Kanno-Youngs,Refugees Who Assisted the U.S. Military Find the Door to America Slammed Shut,"Refugees Risked Lives Helping U.S. Military, But Nation Blocks Entry",News,,,
1004,"KABUL, Afghanistan — In a long conflict waged by men, she’s been a rare female warlord, defending her fief in northern Afghanistan against the Taliban, her own relatives and even against the American-backed central government she allied with.",10/18/2020,World,Foreign,"By Mujib Mashal, Najim Rahim and Fatima Faizi","A Storied Female Warlord Surrenders, Taliban Say, Exposing Afghan Weakness","Taliban Claims to Defeat Revered Female Warlord, Seizing Propaganda Win",News,,,
1005,WASHINGTON — Secretary of State Mike Pompeo came to the State Department briefing room ready to punish.,10/18/2020,World,Washington,By Pranshu Verma,Trump’s Sanctions on International Court May Do Little Beyond Alienating Allies,Allies Balk at U.S. Sanctions on Rights Lawyer,News,,,
1006,"As most of the world still struggles with the pandemic, China is showing that a fast economic rebound is possible when the coronavirus is brought firmly under control. China’s lead could widen further in the months to come.",10/19/2020,Briefing,NYTNow,By Melina Delkic and Will Dudding,Your Tuesday Briefing,NA,briefing,,,
1007,"As most of the world still struggles with the pandemic, China is showing that a fast economic rebound is possible when the coronavirus is brought firmly under control. China’s lead could widen further in the months to come.",10/19/2020,Briefing,NYTNow,By Melina Delkic and Will Dudding,Your Tuesday Briefing,NA,briefing,,,
1008,"Moonstones in Montana, amethyst and emeralds in North Carolina, garnet and quartz in upstate New York. At pay-to-dig mines around the United States, visitors can paw through piles of mine tailings to uncover crystals and gemstones on “finders, keepers” terms for as little as $10 a day.",10/19/2020,Style,Styles,By Alexandra Marvar,Got Crystals? Gem Mining Could Be Your Full-Time Job,Modern-Day Prospectors,News,,,
1009,WASHINGTON — The strange sound came at night: a crack like a marble striking the floor of the apartment above them.,10/19/2020,U.S.,Washington,"By Ana Swanson, Edward Wong and Julian E. Barnes",U.S. Diplomats and Spies Battle Trump Administration Over Suspected Attacks,"As U.S. Diplomats Fell Sick, Washington Minimized the Danger",News,,,
1010,"YAMOUNEH, Lebanon — In a Lebanese farming village of rocky soil and stone villas, cannabis grows everywhere.",10/19/2020,World,Foreign,By Ben Hubbard,"‘If There Were No Hashish Here, You Wouldn’t See a Single House’",Crisis Erases Farmers’ Income From a Reliable Crop: Hashish,News,,,
1011,"President Trump spent a decade unsuccessfully pursuing projects in China, operating an office there during his first run for the presidency and forging a partnership with a major government-controlled company. Now our investigative reporters have found a bank account there in his name.",10/21/2020,Briefing,NYTNow,By Melina Delkic and Will Dudding,Your Thursday Briefing,NA,briefing,,,
1012,"Scientists at Imperial College London plan to deliberately infect volunteers with the coronavirus early next year, beginning the world’s first effort to study how vaccinated people respond to being intentionally exposed to the virus and opening up a new, uncertain path to identifying an effective vaccine.",10/21/2020,Briefing,NYTNow,By Natasha Frost,Your Wednesday Briefing,NA,briefing,,,
1013,"Scientists at Imperial College London plan to deliberately infect volunteers with the coronavirus early next year, beginning the world’s first effort to study how vaccinated people respond to being intentionally exposed to the virus and opening up a new, uncertain path to identifying an effective vaccine.",10/21/2020,Briefing,NYTNow,By Natasha Frost,Your Wednesday Briefing,NA,briefing,,,
1014,"The tech giant helps governments and law enforcement decipher vast amounts of data — to mysterious and, some say, dangerous ends.",10/21/2020,Magazine,Magazine,By Michael Steinberger,Does Palantir See Too Much?,The All-Seeing Eye,Interactive Feature,,,
1015,"Few places in America have been hit harder by the coronavirus and its economic fallout than New York and New Jersey. The region is in need of strong representation in Washington. Though many eyes are on the Senate, several competitive House races here could also help reshape Congress.",10/21/2020,Opinion,Editorial,By The Editorial Board,"Nancy Goroff, Antonio Delgado and Tom Malinowski for Congress",Endorsements for Congress,Editorial,,,
1016,"JALALABAD, Afghanistan — A stampede in a crowded stadium in eastern Afghanistan on Wednesday left at least 12 women dead, officials said. The women were among thousands of people hoping to get visas to enter Pakistan for medical treatment.",10/21/2020,World,Foreign,By Zabihullah Ghazi and Fahim Abed,Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan,Afghan Women Killed In Stampede for Visas  To Travel to Pakistan,News,,,
1017,One of the most lethal leadership failures in modern times unfolded in South Africa in the early 2000s as AIDS spread there under President Thabo Mbeki.,10/22/2020,Opinion,OpEd,By Nicholas Kristof,America and the Virus: ‘A Colossal Failure of Leadership’,‘A Colossal Failure of Leadership’,Op-Ed,,,
1018,"WASHINGTON — Richard Grenell, a close Trump ally who has served numerous roles in the administration, quietly embarked on a pre-election mission last month that was at least partly intended to persuade President Nicolás Maduro of Venezuela to give up power.",10/22/2020,U.S.,Washington,By Kenneth P. Vogel and Lara Jakes,Grenell Pursued Talks Over Change of Power in Venezuela,Key Trump Ally  Pursued Talks  To Shift Power  In Venezuela,News,,,
1019,"WASHINGTON — When they meet for their second and final debate on Thursday night, President Trump and Joseph R. Biden Jr. are expected to face questions over issues of deep consequence like the coronavirus, climate change and national security.",10/22/2020,U.S.,Politics,By Thomas Kaplan and Michael D. Shear,The Final Debate Will Cover Six Main Issues. Here’s Where Trump and Biden Stand.,NA,News,,,
1020,"HERAT, Afghanistan — In one of the oldest districts of the ancient city of Herat, religious vigilantes loyal to a local cleric patrol the streets, routinely detaining and interrogating couples they suspect are unmarried.",10/22/2020,World,Foreign,"By David Zucchino, Najim Rahim and Jim Huylebroek",A Radical Cleric Ignites an Islamist Resistance in Afghanistan,"Extremist Cleric Is a Reminder of Taliban Rule, and Perhaps a Preview",News,,,
1021,"This article is part of our latest Fine Arts & Exhibits special report, which focuses on how art endures and inspires, even in the darkest of times.",10/23/2020,Arts,SpecialSections,By Hilarie M. Sheets,"Inspired by Miniature Paintings, Shahzia Sikander Goes Big",NA,News,,,
1022,Among the words or phrases that were never spoken in the two presidential debates were:,10/23/2020,Opinion,OpEd,By Roger Cohen,The Shrinking of the American Mind,The Shrinking of the American Mind,Op-Ed,,,
1023,"Throughout the long corridors of the Pentagon, Defense Secretary Mark T. Esper is widely seen as a dead man walking.",10/23/2020,U.S.,Politics,By Helene Cooper and Eric Schmitt,"Since the defense secretary opposed quelling civil unrest with troops, his days with Trump have been numbered.",NA,News,,,
1024,"WASHINGTON — Throughout the long corridors of the Pentagon, Defense Secretary Mark T. Esper is widely seen as a dead man walking.",10/23/2020,U.S.,Washington,By Helene Cooper and Eric Schmitt,A Trump Victory May Push His Defense Secretary Out an Open Door,"Awaiting Term’s End, Defense Secretary Is Already Acting Like an Ex-Official",News,,,
1025,We teamed up with local news organizations across the country to document the lives of a dozen Americans who found themselves out of work in the pandemic.,10/23/2020,U.S.,U.S.,By The New York Times,Out of Work in America,NA,Interactive Feature,,,
1026,"GENEVA — Libya’s two main warring factions agreed to a cease-fire on Friday, raising hopes for an end to years of bloody turmoil that have drawn in military forces from Russia, Turkey and other regional powers.",10/23/2020,World,Foreign,By Nick Cumming-Bruce and Declan Walsh,Libya Cease-Fire Raises Hopes for Full Peace Deal,Libya’s Top Factions Agree to Cease-Fire,News,,,
1027,"Last Sunday this section was turned over to essays making the case against the re-election of Donald Trump. I read all of the pieces, and found more than a few points with which I disagreed. But my commitment to contrarianism only goes so far: Fundamentally I agree with my colleagues that Trump should not be …",10/24/2020,Opinion,OpEd,By Ross Douthat,The Last Temptation of NeverTrump,The Last Temptation of NeverTrump,Op-Ed,,,
1028,"Bill Johnson knew, before he reached out to Joseph R. Biden Jr.’s campaign last spring, that things had changed between the former vice president and the nation’s police unions. A once-close alliance had frayed amid clashes over police brutality and racism in the justice system. Still, Mr. Johnson, the executive director of the National Association of Police Organizations, invited Mr. Biden to address the group as it weighed its 2020 endorsement.",10/24/2020,U.S.,Politics,By Alexander Burns,Joe Biden Had Close Ties With Police Leaders. Will They Help Him Now?,A Frayed Bond Between Biden And the Police,News,,,
1029,"KABUL, Afghanistan — A deadly explosion struck a tutoring center in Kabul on Saturday, puncturing a relatively peaceful period in the Afghan capital even as violence has spiraled upward in the countryside.",10/24/2020,World,Foreign,By Mujib Mashal and Najim Rahim,Deadly Explosion Hits Kabul Tutoring Center,Suicide Attack At Tutor Center Kills at Least 18 In Afghanistan,News,,,
1030,"HENRICO COUNTY, Va. — When Representative Abigail Spanberger, the Democrat running for re-election in the conservative-leaning Richmond suburbs, arrived to debate her Republican opponent on a recent evening, she received a heroine’s welcome, loudly cheered by supporters on both sides of the street who held blue balloons and handmade signs praising her accomplishments.",10/26/2020,U.S.,Washington,By Luke Broadwater,"Swing-District Democrats, Defying Predictions, Poised to Help Keep House","Red-District Democrats, Defying Predictions, Poised to Keep House Seats",News,,,
1031,CULTURE WARLORDSMy Journey Into the Dark Web of White SupremacyBy Talia Lavin,10/27/2020,Books,BookReview,By Carolyn Kellogg,An Expedition Deep Into an Underworld of Online Hate,Dumpster Diving,Review,,,
1032,"KABUL, Afghanistan — The son’s grief was unbearable enough after his parents and three relatives were killed in an airstrike that errantly hit their car near the family farm.",10/27/2020,World,Foreign,By Thomas Gibbons-Neff and Najim Rahim,How an Afghan Political Crisis Derailed Payments to War Victims,Afghan Political Crisis Derails Thousands in Payments to War Victims,News,,,
1033,WASHINGTON — Last week was a bad week for Al Qaeda around the world.,10/27/2020,World,Washington,By Eric Schmitt,Al Qaeda Feels Losses in Syria and Afghanistan but Stays Resilient,"Al Qaeda Suffers Losses to Leadership, Yet Remains Resilient",News,,,
1034,"LAHORE, Pakistan — At least eight people were killed and more than 100 wounded when a powerful explosion ripped through an Islamic religious school in northwestern Pakistan on Tuesday, officials said.",10/27/2020,World,Foreign,By Salman Masood,Blast at Pakistani Religious School Kills at Least 8,Explosion Kills Eight At Madrasa In Pakistan,News,,,
1035,"If there is a god of ludicrous ideas that later seem inspired, he must have smiled on Brian Thompson one evening four years ago. A comedy writer living in Los Angeles, Mr. Thompson had been bingeing on true crime podcasts when he decided to create a show that would plumb the stupidest, least consequential mystery he could imagine. For reasons he can’t fully explain, he came up with:",10/28/2020,Business Day,SundayBusiness,By David Segal,A Podcast Answers a Fast-Food Question That Nobody Is Asking,"Answering a Fast-Food Question, if You Care",News,,,
1036,"To hear more audio stories from publishers like The New York Times, download Audm for iPhone or Android.",10/28/2020,Magazine,Magazine,By Doug Bock Clark,"Arrested, Tortured, Imprisoned: The U.S. Contractors Abandoned in Kuwait",Left Behind,News,,,
1037,"The presidential debate on Thursday between Donald Trump and Joe Biden featured a glaring absence: Neither candidate mentioned Mosul. In their final showdown four years ago, Mr. Trump and Hillary Clinton name-checked that Iraqi city — from which the United States had recently helped expel the Islamic State — a whopping 23 times.",10/28/2020,Opinion,OpEd,By Peter Beinart,Trump Couldn’t Play the Tough Guy This Time,No Playing a Tough Guy This Time,Op-Ed,,,
1038,"What’s it like traveling in the time of coronavirus? It depends where you’re going. Epidemic prevention and control measures for international arrivals vary greatly around the world, as New York Times journalists found while traveling in recent months. The severity of outbreaks is similarly varied, but stricter quarantine policies tend to correspond with lower case numbers.",10/28/2020,Travel,Travel,By The New York Times,Welcome Home! Now Go Straight to Quarantine (or Not),Welcome! Go Straight  To Quarantine (or Not),News,,,
1039,This article was produced in partnership with the Pulitzer Center on Crisis Reporting.,10/28/2020,U.S.,Washington,By Carol Rosenberg,Court Rejects Appeal of Guantánamo Convict Who Rejoined Al Qaeda,NA,News,,,
1040,"Twelve years after a New York Times journalist and two others were taken hostage at gunpoint in Afghanistan and held for more than seven months, an Afghan man has been arrested and charged in the kidnapping, federal authorities said on Wednesday.",10/28/2020,World,Foreign,By Benjamin Weiser,"After 12 Years, Arrest Made in Abduction of Former Times Journalist David Rohde",Taliban Leader Faces Charges In Abduction Of Journalist,News,,,
1041,"One of my clearest memories of election night in 2016 is running into women who were going to watch the results with their daughters, so they’d get to share the experience of seeing Hillary Clinton elected president — the moment when the political glass ceiling in America would be shattered forever.",10/30/2020,Opinion,OpEd,By Gail Collins,The Woman President Who Wasn’t,A Female President by Gail Collins,Op-Ed,,,
1042,Many of my oldest friends are voting for President Trump on Tuesday.,10/30/2020,Opinion,OpEd,By Nicholas Kristof,The Friendships Trump Pulled Apart,Frayed Connections by Nicholas Kristof,Op-Ed,,,
1043,"There will of course be an Election Day — and it could be one of tumult, banners colliding, incidents at the polls and attempted hacks galore. More likely than not, it will end without a winner named or at least generally accepted.",10/30/2020,Opinion,OpEd,By Ron Suskind,The Day After Election Day,NA,Op-Ed,,,
1044,"Sean Connery died Saturday at the age of 90. Best known for originating the role of James Bond in movies, the Scottish actor had a career that lasted nearly 60 years, most of which he spent playing a variety of “man’s man” roles — from suave spies to violent brutes. At a time when most popular British thespians were known as Shakespearean-trained aesthetes, Connery became an international star with a screen presence that was earthier and sexier. His musical highland burr and awe-inspiring physicality immediately drew eyes and ears, even when he was playing opposite some of the most accomplished and attractive performers of his generation.",10/31/2020,Movies,Culture,By Noel Murray and Scott Tobias,15 Sean Connery Movies to Stream,Here to Help; More Than Bond: Four Sean Connery Movies to Watch,News,,,
1045,"KABUL, Afghanistan — It seemed the perfect vantage point for the Marines: a 30-foot-high dirt pile overlooking the low-lying poppy fields of Helmand Province. What they could not explain were the strange lights at night, the whispers in the darkness, the mysterious radio static, the sudden chill in a summer breeze and the recurring whiff of corpses.",10/31/2020,World,Foreign,By Thomas Gibbons-Neff and Taimoor Shah,An Ancient Hill and Forgotten Dead: Afghanistan’s Haunted Outpost,‘It Makes My Hair Stand Up’: A Vacated Afghan Post Haunts Marines,News,,,
1046,"KABUL, Afghanistan — A Taliban attack, most likely carried out by a drone, killed at least four security officers in northern Afghanistan on Sunday, according to senior and local Afghan officials, representing what could be the group’s first publicly known use of the method in the 19-year war.",11/1/2020,World,Foreign,By Najim Rahim and Thomas Gibbons-Neff,"Deadly Taliban Attack Probably Used Drone, a Worrisome Shift",NA,News,,,
1047,Several people were injured in what the Austrian interior minister called a terrorist attack in Vienna.,11/2/2020,Briefing,NYTNow,By Melina Delkic,Your Tuesday Briefing,NA,briefing,,,
1048,"KABUL, Afghanistan — When the long-haul trucker drives past this hilltop police outpost in southern Afghanistan each week, he knows exactly what to do. The officers toss down a box tied to a length of rope and like all drivers, the trucker places 5,000 afghanis — about $65 — in the box, which the officers then reel back up to their outpost.",11/2/2020,World,Foreign,By David Zucchino and Fahim Abed,"On Afghan Highways, Even the Police Fear the Taliban’s Toll Collectors",NA,News,,,
1049,"KABUL, Afghanistan — Three gunmen laid siege to Afghanistan’s largest university on Monday, taking hostages, killing at least 19 people and wounding more than a dozen, officials said. It was the second deadly assault with mass casualties on an education center in the capital in just over a week.",11/2/2020,World,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,"Gunmen Storm Kabul University, Killing at Least 19",Gunmen Kill at Least 19 at University in the Afghan Capital,News,,,
1050,(Want to get this briefing by email? Here’s the sign-up.),11/3/2020,Briefing,NYTNow,By Natasha Frost,"Vienna, U.S. Election, Covid-19: Your Tuesday Briefing",NA,briefing,,,
1051,"After a presidential campaign like no other, Election Day is finally here.",11/3/2020,Briefing,NYTNow,By David Leonhardt,How to Watch Tonight,NA,briefing,,,
1052,"When the gods want to punish you, Oscar Wilde wrote, they answer your prayers.",11/3/2020,Opinion,OpEd,By Frank Bruni,How Could Joe Biden Really Want This Job?,NA,Op-Ed,,,
1053,To the Editor:,11/3/2020,Opinion,Letters,NA,"Refugees’ Trauma, and Saving Migrant Children","Refugees’ Trauma, and Saving Migrant Children",Letter,,,
1054,See full results and maps from the Texas election.,11/3/2020,U.S.,Graphics,NA,Texas Election Results: Second Congressional District,NA,NA,,,
1055,See full results and maps from the Texas elections.,11/3/2020,U.S.,Graphics,NA,Texas Election Results,NA,NA,,,
1056,"KABUL, Afghanistan — It was an unusually pleasant fall day, and the two Kabul University students joked that they could afford to be a bit late to class to catch some sun.",11/3/2020,World,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,Deadly School Assault Catapults Kabul into Even More Despair,"Assault on University Students Targets Afghanistan’s Future, Erasing Hopes",News,,,
1057,"Robert Fisk, a dauntless journalist who was widely praised by colleagues and competitors alike for relentlessly chronicling the Middle East’s many agonies, but who was also faulted by some critics as insufficiently tough at times on despots, died on Friday in a hospital in Dublin. He was 74.",11/3/2020,World,Obits,By Clyde Haberman,"Robert Fisk, Intrepid War Correspondent, Dies at 74","Robert Fisk, 74, Journalist  Who Chronicled the Unrest In the Mideast and Beyond",Obituary (Obit),,,
1058,"LONDON — An indecisive American presidential election hurtling toward legal challenges transfixed the world on Wednesday, with viewers in Europe, Asia and elsewhere riveted by the pitched battle between President Trump and former Vice President Joseph R. Biden Jr. and appalled by Mr. Trump’s demand to stop counting votes.",11/4/2020,World,Foreign,By Mark Landler and Damien Cave,A Transfixed World Awaits What’s Next in America,A Transfixed World Awaits What’s Next in America,News,,,
1059,"At least 39 pro-government forces and four civilians were killed in Afghanistan the past week. The deadliest attack took place in Ghazni Province, where a military Humvee stolen by the Taliban and laden with explosives targeted a military base in Ghazni City, the provincial capital, killing 31 soldiers and wounding 24 others. The explosion was so powerful that it damaged several buildings on the base. In Zabul Province, a car bomb targeted the convoy of Atta Jan Haqbayan, the head of provincial council, killing three civilians and wounding 23 others, including Haqbayan. Afghan government and Taliban negotiators in Qatar agreed to the principles and procedures that will guide the ongoing peace negotiations between them, officials announced on Wednesday, an important move that could pave the way for talks that have been hobbled by disagreements for more than two months.",11/5/2020,Magazine,Magazine,By Fatima Faizi and Fahim Abed,Afghan War Casualty Report: November 2020,NA,News,,,
1060,ONE GIRLWritten by Andrea BeatyIllustrated by Dow Phumiruk,11/6/2020,Books,BookReview,By Jennifer Krauss,8 Picture Books About Books,Picture This,Review,,,
1061,Did you follow the headlines this week?,11/6/2020,Briefing,Briefing,"Compiled by Will Dudding, Anna Schaverien and Jessica Anderson","News Quiz: U.S. Election, Sean Connery, International Space Station",The News Quiz,Interactive Feature,,,
1062,"BLUE HILL, Maine — When you saw an article about Maine in the national press over the last year, it was usually a report that the state’s senior senator, Susan Collins, was toast. Yes, she’d won re-election in 2014 by 37 points, but that was before her vote to confirm Brett Kavanaugh to the Supreme Court. The “ByeBye, Susan” bumper stickers started appearing not long after. The political reporters all found their way to the same trope: Ms. Collins hadn’t changed, but Maine had.",11/6/2020,Opinion,OpEd,By Robert Messenger,Susan Collins Was Never Going to Lose,NA,Op-Ed,,,
1063,"KABUL, Afghanistan — Zarifa Ghafari, one of Afghanistan’s first female mayors, had been expecting to be assassinated. But on Thursday night, it was her father who was cut down by gunmen in front of his house in Kabul, the capital.",11/6/2020,World,Foreign,By Fatima Faizi and Thomas Gibbons-Neff,"An Afghan Mayor Expected to Die. Instead, She Lost Her Father.",NA,News,,,
1064,"One of America’s greatest mistakes over the last century was the war on drugs, so it’s thrilling to see voters in red and blue states alike moving to unwind it.",11/7/2020,Opinion,OpEd,By Nicholas Kristof,Republicans and Democrats Agree: End the War on Drugs,We Agree: End the War On Drugs,Op-Ed,,,
1065,"KABUL, Afghanistan — A famous journalist, the father of an oft-threatened mayor and at least 22 others, many of them university students — all were killed within the span of a week in Kabul, Afghanistan’s capital, the victims of targeted assassinations and a terrorist attack.",11/7/2020,World,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,"String of Attacks Have People in Kabul Pointing a Finger, at the Government",Attacks in Kabul Have Afghans Pointing a Finger at Their Government,News,,,
1066,"LONDON — For a world that held its breath as Americans went to the polls last Tuesday, the triumph of Joseph R. Biden Jr. over President Trump provoked many emotions, but above all, a profound sigh of relief.",11/7/2020,World,Foreign,By Mark Landler,Biden Victory Brings Sighs of Relief Overseas,Relief and Joy Overseas: ‘Welcome Back America!’,News,,,
1067,"DUBAI — For years, Israeli entrepreneurs slipped in and out of the United Arab Emirates incognito, traveling on second passports or doing business through third parties.",11/7/2020,World,Foreign,By Isabel Kershner and Photographs by Dan Balilty,‘It’s Like Falling in Love’: Israeli Entrepreneurs Welcomed in Dubai,Israeli C.E.O.s and Emirati Investors Click in the Desert,News,,,
1068,"Foreign leaders showered the U.S. president-elect with congratulations. For many, the importance of this election was as much about removing President Trump as ushering in Joe Biden.",11/8/2020,Briefing,NYTNow,By Carole Landry,Your Monday Briefing,NA,briefing,,,
1069,"UPDATE: Bodo/Glimt beat Stromsgodset, 2-1, on Sunday, Nov. 22 to seal its first Norwegian championship. ",11/8/2020,Sports,Sports,By Rory Smith,Norway Has a Must-See Team. Barely Anyone Can Watch It.,A Country Is Watching This Team (From Afar),News,,,
1070,"BRUSSELS — In the “America First” landscape that President Trump created, Joseph R. Biden Jr. was an outdated romantic trans-Atlanticist. So there is relief in Europe about having a well-disposed friend in the White House who is more likely to support than to berate, harangue and insult.",11/8/2020,World,Foreign,By Steven Erlanger,Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?,"Europe Lauds Biden, but Trust in U.S. Is Shaken",News,,,
1071,WASHINGTON — President-elect Joseph R. Biden Jr. makes no secret of the speed with which he plans to bury “America First” as a guiding principle of the nation’s foreign policy.,11/9/2020,U.S.,Washington,By David E. Sanger,The End of ‘America First’: How Biden Says He Will Re-engage With the World,Looking to End ‘America First’ And Re-engage With the World,News,,,
1072,"WASHINGTON — President Trump fired Defense Secretary Mark T. Esper on Monday, upending the military’s leadership at a time when Mr. Trump’s refusal to concede the election has created a rocky and potentially precarious transition.",11/9/2020,U.S.,Washington,"By Helene Cooper, Eric Schmitt and Maggie Haberman","Trump Fires Mark Esper, Defense Secretary Who Opposed Use of Troops on U.S. Streets",Trump Fires Esper Amid Fears Of Purge at Security Agencies,News,,,
1073,"Lining up for hours on dusty city streets and country dirt lanes, voters in Myanmar turned out en masse on Sunday in elections that were expected to leave the governing party of Daw Aung San Suu Kyi as the biggest force in the country’s Parliament.",11/9/2020,World,Foreign,By Hannah Beech and Saw Nang,Strong Turnout in Myanmar Shows Voters’ Support for Nascent Democracy,Voters Throng Polls In Myanmar Elections,News,,,
1074,"As the results of the presidential election unfolded last week and former Vice President Joseph R. Biden Jr. took the lead in the Electoral College, the police chief of Marshall, Ark., a town of roughly 1,350 people north of Little Rock, shared his feeling of rage online.",11/10/2020,U.S.,Express,By John Ismay,Arkansas Police Chief Resigns After Calling for Democrats to Be Executed,NA,News,,,
1075,[Follow our live coverage of the Biden inauguration.],11/10/2020,U.S.,Washington,By Michael Crowley,An Obama Restoration on Foreign Policy? Familiar Faces Could Fill Biden’s Team,Some on Left Fear Biden’s Situation Room May Look a Lot Like Obama’s,News,,,
